date,GPP.daily,GPP.daily.lower,GPP.daily.upper,ER.daily,ER.daily.lower,ER.daily.upper,K600.daily,K600.daily.lower,K600.daily.upper,warnings,errors
2018-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,overall warnings,data don't start when expected; NAs in DO.obs; NAs in DO.sat; NAs in temp.water
2018-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
2018-05-18,4.183494908930045,3.3565489204677457,5.018486747956652,-6.688230744785731,-8.046443671384402,-5.375670785941885,10.963191767433305,9.04202748656415,12.906918814596937,overall warnings,
2018-05-19,4.393494090182458,3.6156609530174593,5.2022740073602725,-7.331245428058017,-8.662341419106946,-6.057329112831565,11.551807658278758,9.789032904598677,13.369011370487087,overall warnings,
2018-05-20,3.9263395983553755,3.1136875866279095,4.730886598340345,-6.500682288718651,-7.796963428476848,-5.176652627964196,11.153759802725535,9.21982621557582,13.115011988741173,overall warnings,
2018-05-21,4.282979386409925,3.488226014162609,5.072984838111611,-6.701497640974681,-7.95566596853731,-5.402225854710843,10.907086056822479,9.093486759065417,12.67308729084897,overall warnings,
2018-05-22,4.633170994358348,3.8058412754945974,5.477094664637587,-7.104332168095657,-8.371637165956125,-5.833470124559325,10.72055196756303,8.996474555361837,12.50624335213011,overall warnings,
2018-05-23,3.6865642333606763,2.9377969403346436,4.431936910437053,-5.932815143063371,-7.158682724780489,-4.681042869699191,9.492759194044782,7.72607584426435,11.241202976131275,overall warnings,
2018-05-24,4.322242487941454,3.4013337345036847,5.234715148732079,-6.578009423302113,-7.9949327012758,-5.2196644969699175,11.57060567659191,9.521094993064029,13.656994348719001,overall warnings,
2018-05-25,1.523429361293164,0.8658012285432005,2.200578724694284,-4.939818553591785,-6.419669655121215,-3.571970376216749,11.6275361585582,9.229510793904401,14.074432494019916,overall warnings,
